name,province,lat,lng
中央戏剧学院,北京市,39.942333,116.411033
北京协和医学院,北京市,39.917338,116.421237
北京市一七一中学,北京市,39.964904,116.435063
北京市第二中学,北京市,39.92583,116.430085
北京市广渠门中学,北京市,39.901966,116.44475
北京景山学校,北京市,39.92596,116.421052
北京市第五十中学,北京市,39.892947,116.446257
北京市第十一中学,北京市,39.896138,116.411058
北京和平里第四小学,北京市,39.963867,116.435328
北京市第五中学,北京市,39.94358,116.421393
对外经济贸易大学,北京市,39.986491,116.434341
北京工业大学,北京市,39.881251,116.488157
中国传媒大学,北京市,39.918036,116.563871
北京化工大学(东校区),北京市,39.977968,116.427674
中央美术学院,北京市,39.989397,116.470254
北京联合大学,北京市,39.996699,116.433682
北京中医药大学(西校区),北京市,39.977288,116.434476
北京第二外国语学院,北京市,39.918528,116.5701
北京服装学院,北京市,39.980234,116.437457
中国音乐学院,北京市,39.997789,116.385599
中央音乐学院,北京市,39.908297,116.365603
中国人民公安大学(木樨地校区),北京市,39.906724,116.343706
北京建筑大学,北京市,39.940685,116.347969
外交学院,北京市,39.931821,116.352266
北京市第八中学,北京市,39.916964,116.368559
北京三十五中(高中部),北京市,39.945588,116.376223
北京第二实验小学,北京市,39.910802,116.374277
北京市西城区师范学校附属小学,北京市,39.961572,116.397122
奋斗小学,北京市,39.907267,116.36791
北京市第三十九中学,北京市,39.932886,116.38423
首都医科大学,北京市,39.870847,116.359737
首都经济贸易大学,北京市,39.846619,116.323751
中国戏曲学院,北京市,39.869495,116.339316
北京电子科技学院,北京市,39.843926,116.286097
国家法官学院(新校区),北京市,39.838655,116.324944
云岗中学,北京市,39.817146,116.171792
北京丰台二中,北京市,39.856108,116.28552
中央音乐学院附中,北京市,39.870776,116.432852
北方工业大学,北京市,39.933738,116.21485
首钢工学院,北京市,39.932051,116.208843
中国科学院大学(玉泉路校区),北京市,39.915389,116.257207
北京市中杉学校,北京市,39.964654,116.131716
景山学校(远洋分校),北京市,39.904955,116.243981
北京市第九中学,北京市,39.941074,116.171081
